Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
17.401,11.954,11.075,17.157,14.789,17.401,16.218,17.401,14.789
17.355,11.613,10.524,16.905,14.516000000000002,17.355,15.869000000000002,17.355,14.516000000000002
16.740000000000002,10.519,8.526,15.64,13.542,16.740000000000002,14.896999999999998,16.740000000000002,13.542
15.23,9.248,6.0360000000000005,13.423,12.088,15.23,13.17,15.23,12.088
13.792,7.627000000000001,3.035,11.307,10.593,13.792,11.58,13.792,10.593
11.059,5.1560000000000015,-0.125,8.126,7.992000000000001,11.059,8.854,11.059,7.992000000000001
11.327,5.452000000000001,0.2740000000000001,8.446,8.25,11.327,9.181,11.327,8.25
11.585,5.745,1.5,9.22,8.554,11.585,9.704,11.585,8.554
11.432,6.1690000000000005,3.345,9.841,8.818000000000003,11.432,9.992,11.432,8.818000000000003
12.707,8.408000000000001,6.871,11.819,10.673,12.707,11.565,12.707,10.673
13.716,8.672,7.572999999999999,13.052,11.265,13.716,12.568,13.716,11.265
15.47,11.255999999999998,10.614,15.15,13.441,15.47,14.497,15.47,13.441
18.106,13.880999999999998,13.383,18.052,16.081,18.106,16.985,18.106,16.081
18.54,13.8,13.011,18.246,16.186,18.54,17.113,18.54,16.186
18.31600000000001,13.004,11.213,17.363999999999994,15.583,18.31600000000001,16.567999999999998,18.31600000000001,15.583
15.515,9.44,6.216,13.692,12.323,15.515,13.44,15.515,12.323
14.169,8.231,3.697,11.720999999999998,11.084,14.169,11.977,14.169,11.084
12.51,6.835,1.599,9.695,9.559,12.51,10.251,12.51,9.559
11.773,5.550999999999998,0.2660000000000001,8.878,8.53,11.773,9.569,11.773,8.53
11.558,6.232,2.109,9.261,8.795,11.558,9.737,11.558,8.795
11.884,6.84,4.052,10.357,9.391,11.884,10.447,11.884,9.391
12.640999999999998,8.488999999999999,7.017,11.711,10.672,12.640999999999998,11.555,12.640999999999998,10.672
14.065,9.801,8.837,13.484000000000002,12.041,14.065,13.069,14.065,12.041
15.572,11.607,11.0,15.275999999999998,13.683,15.572,14.657,15.572,13.683
17.421,13.524,13.09,17.31,15.579,17.421,16.430999999999997,17.421,15.579
17.97,12.666,11.746,17.516000000000002,15.328,17.97,16.552,17.97,15.328
17.588,12.163,10.397,16.587999999999994,14.782,17.588,15.82,17.588,14.782
16.436,10.219,6.99,14.572,13.152,16.436,14.352,16.436,13.152
14.446,8.235,3.684,11.951,11.199000000000002,14.446,12.202,14.446,11.199000000000002
12.69,6.704,1.4,9.833,9.58,12.69,10.39,12.69,9.58
11.753,5.957000000000001,0.772,8.937999999999997,8.728,11.753,9.582999999999998,11.753,8.728
