Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.044,0.152,242.73,4.4,0.0,2.0,0.0
1.962,0.252,239.73,8.2,0.0,0.0,18.0
0.278,0.126,246.17,1.2,0.0,2.0,0.0
1.734,0.084,242.96,7.0,0.0,0.0,19.0
0.414,0.242,241.19,2.0,0.0,1.0,0.0
2.488,0.162,239.81,10.4,0.0,36.0,0.0
0.824,0.058,245.57,3.4,0.0,0.0,0.0
1.426,0.0,242.38,5.8,0.0,0.0,18.0
1.814,0.148,243.51,7.6,0.0,0.0,18.0
0.222,0.0,243.65,1.0,0.0,0.0,0.0
0.206,0.0,245.7,0.8,0.0,0.0,0.0
2.61,0.188,238.48,10.8,38.0,0.0,0.0
2.328,0.0,241.25,9.6,0.0,0.0,0.0
2.718,0.0,239.07,11.4,0.0,0.0,0.0
5.376,0.046,237.57,22.6,0.0,0.0,18.0
2.138,0.256,238.95,9.0,0.0,1.0,18.0
0.586,0.26,243.65,2.6,0.0,1.0,0.0
4.984,0.202,237.06,21.0,38.0,0.0,17.0
2.49,0.102,245.44,10.0,0.0,1.0,0.0
2.334,0.068,237.13,9.8,0.0,0.0,17.0
0.63,0.162,245.7,2.8,0.0,0.0,0.0
1.258,0.0,238.84,5.2,0.0,0.0,18.0
0.232,0.054,245.5,1.0,0.0,0.0,0.0
0.228,0.0,241.42,1.0,0.0,0.0,0.0
0.496,0.186,245.71,3.0,0.0,0.0,0.0
1.394,0.11,241.24,5.8,0.0,0.0,18.0
0.236,0.0,243.42,1.0,0.0,1.0,0.0
1.664,0.0,238.34,7.0,0.0,0.0,18.0
0.21,0.0,243.1,0.8,0.0,0.0,0.0
4.094,0.288,236.44,17.2,0.0,0.0,17.0
2.58,0.136,241.97,10.6,0.0,0.0,0.0
2.478,0.0,235.3,10.4,0.0,0.0,0.0
0.442,0.122,241.06,1.8,0.0,0.0,0.0
0.374,0.0,243.42,1.6,0.0,0.0,0.0
1.372,0.058,244.95,5.6,0.0,0.0,0.0
1.424,0.182,241.87,5.8,0.0,0.0,18.0
0.85,0.046,242.61,3.6,0.0,0.0,0.0
2.026,0.216,241.05,8.4,0.0,1.0,18.0
1.172,0.182,243.62,4.8,0.0,0.0,0.0
0.282,0.0,240.58,1.2,0.0,0.0,0.0
1.726,0.132,242.88,7.0,0.0,0.0,18.0
2.414,0.0,233.7,10.4,0.0,0.0,17.0
1.504,0.28,241.95,6.2,0.0,2.0,18.0
0.644,0.422,237.17,3.2,0.0,2.0,0.0
1.402,0.138,243.74,5.8,0.0,2.0,18.0
0.366,0.148,238.52,1.8,0.0,1.0,0.0
0.31,0.154,241.55,1.4,0.0,0.0,0.0
0.276,0.112,238.92,1.2,0.0,0.0,0.0
0.404,0.302,244.48,2.0,0.0,2.0,0.0
1.326,0.188,242.54,5.4,0.0,19.0,0.0
0.444,0.324,244.9,2.2,0.0,0.0,0.0
0.304,0.164,241.46,1.4,0.0,1.0,0.0
1.296,0.138,239.74,5.4,0.0,1.0,0.0
0.396,0.276,240.7,2.0,0.0,1.0,0.0
0.22,0.0,242.11,1.0,0.0,0.0,0.0
2.13,0.376,239.31,9.0,1.0,2.0,17.0
4.646,0.062,234.31,19.8,0.0,0.0,17.0
2.178,0.318,233.8,10.2,0.0,27.0,0.0
1.382,0.104,242.12,5.6,0.0,0.0,18.0
1.51,0.248,241.04,6.2,0.0,2.0,18.0
1.62,0.164,243.03,7.6,0.0,21.0,0.0
0.726,0.0,242.76,3.2,0.0,0.0,0.0
0.282,0.114,243.29,1.2,0.0,0.0,0.0
1.888,0.0,239.84,8.0,0.0,0.0,18.0
1.408,0.104,244.77,5.6,0.0,0.0,19.0
0.48,0.364,239.28,2.4,0.0,1.0,0.0
0.238,0.0,241.95,1.0,0.0,0.0,0.0
0.276,0.106,241.65,1.2,0.0,0.0,0.0
1.374,0.0,241.55,5.6,0.0,0.0,0.0
0.682,0.398,238.93,3.2,0.0,0.0,0.0
2.668,0.064,240.27,11.0,0.0,0.0,0.0
3.768,0.304,233.64,16.0,37.0,0.0,17.0
0.218,0.0,245.36,1.0,0.0,0.0,0.0
1.462,0.26,240.71,6.0,0.0,1.0,18.0
1.622,0.08,242.23,6.8,0.0,0.0,0.0
0.288,0.1,243.36,1.2,0.0,0.0,0.0
2.516,0.21,242.55,10.4,0.0,0.0,0.0
1.752,0.272,240.13,7.4,0.0,0.0,16.0
1.404,0.128,242.68,5.8,0.0,0.0,18.0
0.216,0.0,243.05,1.0,0.0,0.0,0.0
0.302,0.128,247.23,1.4,0.0,0.0,0.0
1.454,0.0,241.13,6.0,0.0,0.0,18.0
2.492,0.0,243.71,10.8,35.0,0.0,0.0
1.506,0.19,238.63,6.4,0.0,0.0,18.0
3.83,0.154,241.86,15.8,0.0,37.0,18.0
3.962,0.214,236.94,16.6,38.0,1.0,17.0
0.306,0.104,243.61,1.4,0.0,0.0,0.0
1.428,0.096,239.71,6.0,0.0,0.0,17.0
1.348,0.0,244.05,5.4,0.0,0.0,18.0
1.062,0.548,240.73,5.0,0.0,1.0,0.0
0.546,0.058,243.35,2.4,0.0,1.0,0.0
6.562,0.432,233.74,28.0,0.0,72.0,17.0
0.326,0.128,243.15,1.4,0.0,0.0,0.0
1.36,0.09,239.57,5.6,0.0,0.0,18.0
1.314,0.0,242.77,5.4,0.0,0.0,18.0
0.232,0.0,241.86,1.0,0.0,0.0,0.0
3.614,0.106,240.99,15.0,0.0,1.0,18.0
1.324,0.0,239.69,5.4,0.0,0.0,17.0
3.57,0.096,240.77,14.8,0.0,0.0,18.0
1.454,0.194,237.33,6.2,0.0,0.0,18.0
0.374,0.09,243.87,1.6,0.0,1.0,0.0
0.402,0.154,238.65,1.8,0.0,0.0,0.0
0.662,0.242,241.47,3.2,0.0,2.0,0.0
0.496,0.0,243.27,2.4,0.0,0.0,0.0
0.306,0.124,243.53,1.4,0.0,2.0,0.0
2.848,0.34,236.78,12.6,0.0,15.0,17.0
0.394,0.244,243.95,1.8,0.0,0.0,0.0
1.352,0.052,239.64,5.6,0.0,0.0,18.0
0.43,0.26,244.19,2.0,0.0,2.0,0.0
1.446,0.214,238.77,6.0,0.0,0.0,18.0
0.45,0.264,244.52,2.2,0.0,1.0,0.0
3.808,0.144,234.99,16.2,0.0,36.0,17.0
2.858,0.09,241.16,11.8,0.0,2.0,0.0
3.766,0.216,240.06,15.6,0.0,1.0,18.0
1.37,0.0,241.64,5.6,0.0,0.0,18.0
1.458,0.192,240.13,6.0,0.0,1.0,17.0
0.326,0.132,244.42,1.4,0.0,0.0,0.0
0.678,0.114,242.41,2.8,0.0,0.0,0.0
0.222,0.0,245.86,1.0,0.0,0.0,0.0
3.938,0.224,239.14,16.4,0.0,37.0,18.0
0.356,0.136,243.95,1.6,0.0,0.0,0.0
1.4,0.102,241.06,5.8,0.0,0.0,18.0
1.636,0.116,243.92,6.8,0.0,0.0,19.0
0.822,0.122,238.96,4.0,0.0,0.0,9.0
1.996,0.344,241.25,8.4,0.0,1.0,18.0
0.322,0.1,239.02,1.4,0.0,1.0,0.0
3.902,0.086,237.68,16.4,0.0,1.0,0.0
3.682,0.0,238.1,16.2,0.0,27.0,18.0
0.356,0.19,242.56,1.6,0.0,1.0,0.0
2.752,0.092,238.46,12.0,0.0,0.0,17.0
2.508,0.206,241.73,10.4,0.0,2.0,0.0
1.39,0.0,242.18,5.6,0.0,0.0,18.0
0.29,0.116,243.69,1.2,0.0,2.0,0.0
0.452,0.126,240.56,2.0,0.0,0.0,0.0
4.786,0.052,238.65,20.0,38.0,0.0,17.0
1.542,0.068,239.11,6.4,0.0,0.0,17.0
1.412,0.114,241.24,5.8,0.0,2.0,18.0
1.482,0.16,241.14,6.2,0.0,0.0,18.0
0.712,0.0,243.65,2.8,0.0,0.0,0.0
0.212,0.0,238.62,0.8,0.0,0.0,0.0
0.32,0.124,241.45,1.4,0.0,0.0,0.0
0.318,0.134,243.08,1.4,0.0,0.0,0.0
0.414,0.278,246.48,2.0,0.0,1.0,0.0
1.292,0.0,241.47,5.2,0.0,0.0,18.0
0.228,0.0,243.48,1.0,0.0,0.0,0.0
0.302,0.108,244.48,1.2,0.0,0.0,0.0
0.404,0.27,245.14,2.0,0.0,1.0,0.0
0.218,0.0,241.82,0.8,0.0,0.0,0.0
0.226,0.0,243.19,1.0,0.0,0.0,0.0
0.386,0.214,238.46,1.8,0.0,0.0,0.0
0.302,0.118,242.65,1.2,0.0,2.0,0.0
0.302,0.1,239.98,1.4,0.0,0.0,0.0
0.31,0.118,247.29,1.4,0.0,0.0,0.0
0.206,0.0,236.35,0.8,0.0,0.0,0.0
0.292,0.11,242.18,1.2,0.0,1.0,0.0
0.368,0.196,238.29,1.6,0.0,1.0,0.0
0.328,0.102,242.78,1.4,0.0,0.0,0.0
1.41,0.098,242.08,5.8,0.0,1.0,18.0
0.21,0.0,243.08,0.8,0.0,0.0,0.0
0.49,0.342,242.55,2.4,0.0,1.0,0.0
1.416,0.0,240.29,5.8,0.0,0.0,18.0
1.716,0.374,240.39,7.2,0.0,1.0,18.0
0.408,0.202,241.62,1.8,0.0,1.0,0.0
0.382,0.176,240.4,1.8,0.0,2.0,0.0
