Epsilon,Target Direction,Test Index,Attack Name,True y,Original y Pred,Attacked y Pred,Attacked AE,Original AE,Eta,Adv Example,Percentage Changeed from the Attack,Attack Stats,
0.2,Positive,0,Targeted_3VITA,0.0,-0.0022416016459465026,-0.0018971699476242065,2.001897169947624,2.0022416016459466,[[[0.0; 0.0; 0.0; 0.0; 0.0011507757008075714; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.021291792392730713; 0.0; 0.0; 0.0]]],[[[0.0002916146768257022; 0.014598540030419827; 0.0762227326631546; 0.0163571760058403; 0.02788608707487583; 0.05882154777646065; 0.6608784198760986; 0.0; 0.0]; [0.007040940225124359; 0.03375912457704544; 0.07957318425178528; 0.018272195011377335; 0.09941638261079788; 0.12196245789527893; 0.6606741547584534; 0.0; 0.0]; [0.0024150728713721037; 0.07253649830818176; 0.08172184228897095; 0.019336864352226257; 0.1487092822790146; 0.1381799727678299; 0.6606741547584534; 0.0; 0.0]; [0.008154109120368958; 0.06592153012752533; 0.08161258697509766; 0.020823251456022263; 0.14207619428634644; 0.13893887400627136; 0.6604698896408081; 0.0; 0.0]; [0.007891359739005566; 0.062043797224760056; 0.07946392893791199; 0.020726462826132774; 0.12995781004428864; 0.1344703882932663; 0.6604698896408081; 0.0; 0.0]; [0.018763257190585136; 0.09671533107757568; 0.09450453519821167; 0.023291345685720444; 0.11548436433076859; 0.13640421628952026; 0.6602655649185181; 0.0; 0.0]; [0.0007408789242617786; 0.016423357650637627; 0.08452601730823517; 0.02109287492930889; 0.06340529024600983; 0.0571737214922905; 0.6602655649185181; 0.0; 0.0]]],1.8646510317921638,[(0; 4; 1); (6; 5; -1)],
0.2,Positive,1,Targeted_3VITA,0.05800837650895119,0.05269416868686676,0.06196759209036827,1.9380324079096318,1.9473058313131333,[[[0.0; 0.0; -0.12108144164085388; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.11956501007080078; 0.0; 0.0; -0.07992231845855713; 0.0; 0.0; 0.0]]],[[[0.07897502928972244; 0.5212135314941406; 0.4811619222164154; 0.32574698328971863; 0.4775477945804596; 0.2041522115468979; 0.5258427262306213; 0.0; 0.0]; [0.07708915323019028; 0.724452555179596; 0.5941950082778931; 0.31814223527908325; 0.5464594960212708; 0.19987992942333221; 0.5256384015083313; 0.0; 0.0]; [0.06058331951498985; 0.49726277589797974; 0.5771878361701965; 0.3090095818042755; 0.5526050329208374; 0.20066006481647491; 0.5256384015083313; 0.0; 0.0]; [0.07740963250398636; 0.41286495327949524; 0.567500650882721; 0.3006719946861267; 0.49722743034362793; 0.23198014497756958; 0.525434136390686; 0.0; 0.0]; [0.027435462921857834; 0.13389597833156586; 0.5472522377967834; 0.29015666246414185; 0.3201023042201996; 0.10800328105688095; 0.525434136390686; 0.0; 0.0]; [0.021394450217485428; 0.10697992891073227; 0.5404056906700134; 0.28785449266433716; 0.1500960737466812; 0.059149324893951416; 0.525434136390686; 0.0; 0.0]; [0.06838586181402206; 0.40031933784484863; 0.6678005456924438; 0.28936854004859924; 0.3316658139228821; 0.10288025438785553; 0.525434136390686; 0.0; 0.0]]],16.105125844478607,[(0; 2; -1); (6; 2; 1); (6; 5; -1)],
0.2,Positive,2,Targeted_3VITA,0.09913122653961182,0.05502340905368328,0.07468609653413295,1.925313903465867,1.9449765909463168,[[[0.0; 0.0; -0.0777977705001831; 0.0; 0.0; 0.07525934278964996; 0.0; 0.0; 0.0]; [0.0; 0.0; -0.07635682821273804; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.024487491697072983; 0.10812044143676758; 0.32421979308128357; 0.258769690990448; 0.16857250034809113; 0.0815269947052002; 0.5111337900161743; 0.0; 0.0]; [0.03731705620884895; 0.08622262626886368; 0.3323252201080322; 0.2649364769458771; 0.17142292857170105; 0.2655373215675354; 0.510929524898529; 0.0; 0.0]; [0.017859548330307007; 0.07436131685972214; 0.41578352451324463; 0.2710202932357788; 0.21957483887672424; 0.19647054374217987; 0.5793666839599609; 0.0; 0.0]; [0.030208762735128403; 0.060675181448459625; 0.4251065254211426; 0.2785974144935608; 0.19009722769260406; 0.1300969421863556; 0.5793666839599609; 0.0; 0.0]; [0.13389258086681366; 0.43499088287353516; 0.4350850284099579; 0.28999072313308716; 0.3768360912799835; 0.36704108119010925; 0.5791624188423157; 0.0; 0.0]; [0.0838303342461586; 0.3727189898490906; 0.4411303997039795; 0.29573580622673035; 0.5553493499755859; 0.4250936508178711; 0.4533197283744812; 0.0; 0.0]; [0.09821419417858124; 0.4543795585632324; 0.44571906328201294; 0.30034705996513367; 0.5814648866653442; 0.48010772466659546; 0.45311543345451355; 0.0; 0.0]]],16.945767402648926,[(0; 2; -1); (0; 5; 1); (1; 2; -1)],
0.2,Positive,3,Targeted_3VITA,0.055985577404499054,0.09590575747191905,0.10759282223880291,1.892407177761197,1.904094242528081,[[[0.0; 0.0; -0.11864909529685974; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.11853092908859253; 0.0; 0.0; -0.0778827890753746; 0.0; 0.0; 0.0]]],[[[0.12090684473514557; 0.7230839133262634; 0.3534729778766632; 0.43027806282043457; 0.24628806114196777; 0.07513254880905151; 0.3885597586631775; 0.0; 0.0]; [0.07862716168165207; 0.591697096824646; 0.4511089324951172; 0.40691065788269043; 0.44845572113990784; 0.08864373713731766; 0.3885597586631775; 0.0; 0.0]; [0.08115621656179428; 0.724452555179596; 0.42674532532691956; 0.38300400972366333; 0.46940791606903076; 0.09141135960817337; 0.38835546374320984; 0.0; 0.0]; [0.07138194143772125; 0.6710766553878784; 0.40496739745140076; 0.35953983664512634; 0.4283001124858856; 0.08988697826862335; 0.3881511688232422; 0.0; 0.0]; [0.10340478271245956; 0.5679744482040405; 0.38187843561172485; 0.3373546600341797; 0.3765042722225189; 0.11588727682828903; 0.38794687390327454; 0.0; 0.0]; [0.020492222160100937; 0.15442518889904022; 0.3571142554283142; 0.3107655942440033; 0.21711097657680511; 0.062180351465940475; 0.38794687390327454; 0.0; 0.0]; [0.014235088601708412; 0.0989963486790657; 0.45889291167259216; 0.298044890165329; 0.06769248843193054; -0.043919894844293594; 0.38794687390327454; 0.0; 0.0]]],10.95610037446022,[(0; 2; -1); (6; 2; 1); (6; 5; -1)],
0.2,Positive,4,Targeted_3VITA,0.0033720722422003746,0.004117713421583176,0.004647221341729164,1.9953527786582708,1.995882286578417,[[[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0021190904080867767; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; -0.0010468512773513794; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.030773982405662537; 0.0; 0.0; 0.0]]],[[[0.008060851134359837; 0.13070255517959595; 0.1214902251958847; 0.04446026682853699; 0.12126510590314865; 0.23539982736110687; 0.6028600335121155; 0.0; 0.0]; [0.001207166351377964; 0.03626824915409088; 0.11817619204521179; 0.0423101931810379; 0.03901141881942749; 0.11351990699768066; 0.6028600335121155; 0.0; 0.0]; [0.0073480973951518536; 0.06820255517959595; 0.1184675320982933; 0.04061640053987503; 0.13071325421333313; 0.23576898872852325; 0.6028600335121155; 0.0; 0.0]; [0.00631338357925415; 0.06797445565462112; 0.11566334962844849; 0.03984209895133972; 0.2127496600151062; 0.25857317447662354; 0.6028600335121155; 0.0; 0.0]; [0.010319015011191368; 0.10583941638469696; 0.11092901974916458; 0.03729795664548874; 0.20652557909488678; 0.25668618083000183; 0.6028600335121155; 0.0; 0.0]; [0.007590122986584902; 0.08941605687141418; 0.10746932029724121; 0.0343666598200798; 0.17732737958431244; 0.25727343559265137; 0.6028600335121155; 0.0; 0.0]; [0.014985589310526848; 0.11747262626886368; 0.10444662719964981; 0.031483761966228485; 0.1714181751012802; 0.2402828186750412; 0.6028600335121155; 0.0; 0.0]]],3.843022882938385,[(1; 4; 1); (5; 4; -1); (6; 5; -1)],
0.2,Positive,5,Targeted_3VITA,0.11149672418832779,0.08035983927547932,0.08888178907334804,1.911118210926652,1.9196401607245206,[[[0.0; 0.0; 0.0; 0.0; 0.0; -0.07026895880699158; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.06815891712903976; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.06988999247550964; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.12612704932689667; 0.5643247961997986; 0.755781352519989; 0.46679478883743286; 0.5647808909416199; 0.14594890177249908; 0.5274770259857178; 0.0; 0.0]; [0.04257574304938316; 0.19229014217853546; 0.7391019463539124; 0.448958158493042; 0.3730102479457855; 0.0792095884680748; 0.5274770259857178; 0.0; 0.0]; [0.038015007972717285; 0.13207116723060608; 0.7324010133743286; 0.44449207186698914; 0.21091069281101227; 0.01987743377685547; 0.5274770259857178; 0.0; 0.0]; [0.11081431806087494; 0.512545645236969; 0.7219491004943848; 0.4425908625125885; 0.3309698700904846; 0.2256113439798355; 0.5272727012634277; 0.0; 0.0]; [0.08061295002698898; 0.5718522071838379; 0.7083287835121155; 0.4331817030906677; 0.5512610673904419; 0.24853156507015228; 0.5272727012634277; 0.0; 0.0]; [0.08714541792869568; 0.6001368761062622; 0.6907753348350525; 0.420592337846756; 0.5983549356460571; 0.2502254247665405; 0.5270684361457825; 0.0; 0.0]; [0.07832000404596329; 0.6425638794898987; 0.6689974069595337; 0.4082449674606323; 0.5713014006614685; 0.25594544410705566; 0.5268641710281372; 0.0; 0.0]]],9.671720117330551,[(0; 5; -1); (1; 5; -1); (2; 5; -1)],
0.2,Positive,6,Targeted_3VITA,0.02762937918305397,0.02436214029788971,0.025062071830034255,1.9749379281699657,1.9756378597021103,[[[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.003099486231803894; -0.05267149209976196; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.03251059353351593; 0.17039233446121216; 0.26271897554397583; 0.15185348689556122; 0.3124009668827057; 0.5515666007995605; 0.5814095735549927; 0.0; 0.0]; [0.022707456722855568; 0.14324817061424255; 0.25623658299446106; 0.14357811212539673; 0.20163525640964508; 0.33749717473983765; 0.5812053084373474; 0.0; 0.0]; [0.013672583736479282; 0.05748175084590912; 0.2522670030593872; 0.1402527540922165; 0.07645591348409653; 0.1350977122783661; 0.565066397190094; 0.0; 0.0]; [0.021130220964550972; 0.08918795734643936; 0.25161150097846985; 0.13909821212291718; 0.20723022520542145; 0.2999906539916992; 0.565066397190094; 0.0; 0.0]; [0.022956883534789085; 0.15260036289691925; 0.250045508146286; 0.13560692965984344; 0.36606064438819885; 0.45002061128616333; 0.621654748916626; 0.0; 0.0]; [0.02346906065940857; 0.17221716046333313; 0.24334461987018585; 0.1330558806657791; 0.3690161108970642; 0.4432530701160431; 0.621654748916626; 0.0; 0.0]; [0.02487902343273163; 0.16788321733474731; 0.23617029190063477; 0.126564159989357; 0.3182147145271301; 0.5004957318305969; 0.621654748916626; 0.0; 0.0]]],3.715527430176735,[(3; 4; 1); (3; 5; -1)],
0.2,Positive,7,Targeted_3VITA,0.04116503894329071,0.02706601869314909,0.027454359009861946,1.972545640990138,1.972933981306851,[[[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; -0.030187636613845825; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.04706525802612305; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0033771097660064697; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.03956189751625061; 0.3480839431285858; 0.2921810746192932; 0.18523845076560974; 0.46358737349510193; 0.6888370513916016; 0.7730336785316467; 0.0; 0.0]; [0.042559459805488586; 0.3492244482040405; 0.2542364001274109; 0.18007411062717438; 0.4239768981933594; 0.7593948841094971; 0.7730336785316467; 0.0; 0.0]; [0.042931750416755676; 0.3218521773815155; 0.2799810767173767; 0.1782282292842865; 0.3891802132129669; 0.7085287570953369; 0.7730336785316467; 0.0; 0.0]; [0.03849239647388458; 0.21829380095005035; 0.2722240388393402; 0.17363770306110382; 0.2611127197742462; 0.48120492696762085; 0.7730336785316467; 0.0; 0.0]; [0.025384539738297462; 0.11496350169181824; 0.2674168646335602; 0.17306725680828094; 0.10896517336368561; 0.2158055603504181; 0.7730336785316467; 0.0; 0.0]; [0.03501226380467415; 0.1583029180765152; 0.26785388588905334; 0.17168812453746796; 0.23596853017807007; 0.49990978837013245; 0.7730336785316467; 0.0; 0.0]; [0.03760645166039467; 0.2833029329776764; 0.2659965753555298; 0.1708308607339859; 0.4231874346733093; 0.6333414316177368; 0.7730336785316467; 0.0; 0.0]]],2.2131171077489853,[(1; 2; -1); (2; 5; -1); (4; 3; 1)],
0.2,Positive,8,Targeted_3VITA,0.11771833151578903,0.10969916306436062,0.11149344220757484,1.8885065577924252,1.8903008369356393,[[[0.0; 0.0; -0.061702847480773926; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; -0.06639790534973145; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; -0.07110857963562012; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.13847921788692474; 0.8590328693389893; 0.8332313895225525; 0.7049210071563721; 0.5708250999450684; 0.3597252666950226; 0.9244126677513123; 0.0; 0.0]; [0.12803734838962555; 0.8013229966163635; 0.8715539574623108; 0.679279088973999; 0.4404314160346985; 0.19922217726707458; 0.9244126677513123; 0.0; 0.0]; [0.10030730813741684; 0.41400548815727234; 0.8627043962478638; 0.6715498566627502; 0.2545720934867859; 0.021718807518482208; 0.9244126677513123; 0.0; 0.0]; [0.09309317171573639; 0.40374088287353516; 0.8584070801734924; 0.6664615869522095; 0.3342786133289337; 0.30203989148139954; 0.9244126677513123; 0.0; 0.0]; [0.10884036868810654; 0.9053375720977783; 0.7834382057189941; 0.655116617679596; 0.5217603445053101; 0.36540457606315613; 0.9244126677513123; 0.0; 0.0]; [0.11171580106019974; 0.9247262477874756; 0.8347354531288147; 0.6413519978523254; 0.6182827949523926; 0.42420050501823425; 0.9244126677513123; 0.0; 0.0]; [0.12027698755264282; 0.8654196858406067; 0.8140864372253418; 0.6234738826751709; 0.5642936825752258; 0.4307236969470978; 0.9244126677513123; 0.0; 0.0]]],3.9533711969852448,[(0; 2; -1); (2; 5; -1); (4; 2; -1)],
0.2,Positive,9,Targeted_3VITA,0.03953895345330238,0.04088126674294472,0.04163249477744103,1.9583675052225589,1.9591187332570552,[[[0.0; 0.0; 0.0; 0.0; 0.0; 0.06251460313796997; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; -0.007754266262054443; 0.0; -0.000712275505065918; 0.0; 0.0; 0.0; 0.0]; [0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]]],[[[0.0458301305770874; 0.21213503181934357; 0.30627480149269104; 0.20279856026172638; 0.42095714807510376; 0.8300698399543762; 0.5854954123497009; 0.0; 0.0]; [0.04323076456785202; 0.17153283953666687; 0.3012855648994446; 0.19838087260723114; 0.3915920555591583; 0.724183976650238; 0.5850868225097656; 0.0; 0.0]; [0.03702174127101898; 0.16856752336025238; 0.2964419722557068; 0.1900501847267151; 0.2499840259552002; 0.4846143126487732; 0.5848825573921204; 0.0; 0.0]; [0.022307781502604485; 0.06797445565462112; 0.29549509286880493; 0.18850158154964447; 0.11232353001832962; 0.21797914803028107; 0.5848825573921204; 0.0; 0.0]; [0.0288972370326519; 0.10720802843570709; 0.30325213074684143; 0.19131535291671753; 0.25132322311401367; 0.5250312089920044; 0.5844739675521851; 0.0; 0.0]; [0.035353466868400574; 0.14940693974494934; 0.2920745611190796; 0.18901318311691284; 0.4463413655757904; 0.635927140712738; 0.584269642829895; 0.0; 0.0]; [0.038192640990018845; 0.2219434380531311; 0.29509449005126953; 0.18675939738750458; 0.4491921365261078; 0.6784464120864868; 0.5838610529899597; 0.0; 0.0]]],3.1936775892972946,[(0; 5; 1); (5; 2; -1); (5; 4; -1)],
