Seed,Target,Dataset,Model,Epsilon,Attack,Path
1111111,targeted,NZTemp,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_NZTemp/df_NZTemp_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
1111111,targeted,Electricity,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_Electricity/df_Electricity_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
1111111,targeted,CNYExch,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_CNYExch/df_CNYExch_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
1111111,targeted,Oil,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_Oil/df_Oil_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
1111111,targeted,Electricity,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_Electricity/df_Electricity_seed_1111111_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
1111111,targeted,CNYExch,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_CNYExch/df_CNYExch_seed_1111111_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
1111111,targeted,Oil,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_Oil/df_Oil_seed_1111111_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
1111111,targeted,NZTemp,GRU,0.1,Targeted_5VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_NZTemp/df_NZTemp_seed_1111111_model_GRU_epsilon_0.1_attack_Targeted_5VITA_target_Positive.csv
1111111,targeted,Electricity,GRU,0.2,Targeted_1VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_1111111/df_Electricity/df_Electricity_seed_1111111_model_GRU_epsilon_0.2_attack_Targeted_1VITA_target_Positive.csv
1111111,untargeted,NZTemp,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_1111111/df_NZTemp/df_NZTemp_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA.csv
1111111,untargeted,Electricity,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_1111111/df_Electricity/df_Electricity_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA.csv
1111111,untargeted,CNYExch,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_1111111/df_CNYExch/df_CNYExch_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA.csv
1111111,untargeted,Oil,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_1111111/df_Oil/df_Oil_seed_1111111_model_CNN_epsilon_0.05_attack_FULLVITA.csv
