Target,Seed,Dataset,Model,Attack,Epsilon,N,Direction
targeted,9999,NZTemp,GRU,NVITA,0.15,1,Positive
untargeted,2210,Oil,CNN,BIM,0.2,1,
untargeted,2210,Oil,CNN,BRNV,0.2,5,
untargeted,2210,Oil,CNN,BRS,0.2,1,
untargeted,2210,Oil,CNN,FGSM,0.2,1,
untargeted,2210,Oil,CNN,FULLVITA,0.2,1,
untargeted,2210,Oil,CNN,NOATTACK,0.2,1,
untargeted,2210,Oil,CNN,NVITA,0.2,1,
untargeted,2210,Oil,CNN,NVITA,0.2,3,
untargeted,2210,Oil,CNN,NVITA,0.2,5,
untargeted,2210,Oil,GRU,BRNV,0.15,5,
untargeted,2210,Oil,GRU,NVITA,0.15,5,
untargeted,2210,Oil,GRU,BIM,0.2,1,
untargeted,2210,Oil,GRU,BRNV,0.2,5,
untargeted,2210,Oil,GRU,BRS,0.2,1,
untargeted,2210,Oil,GRU,FGSM,0.2,1,
untargeted,2210,Oil,GRU,FULLVITA,0.2,1,
untargeted,2210,Oil,GRU,NOATTACK,0.2,1,
untargeted,2210,Oil,GRU,NVITA,0.2,1,
untargeted,2210,Oil,GRU,NVITA,0.2,3,
untargeted,2210,Oil,GRU,NVITA,0.2,5,
untargeted,2210,Oil,LSTM,BIM,0.2,1,
untargeted,2210,Oil,LSTM,BRNV,0.2,5,
untargeted,2210,Oil,LSTM,BRS,0.2,1,
untargeted,2210,Oil,LSTM,FGSM,0.2,1,
untargeted,2210,Oil,LSTM,FULLVITA,0.2,1,
untargeted,2210,Oil,LSTM,NOATTACK,0.2,1,
untargeted,2210,Oil,LSTM,NVITA,0.2,1,
untargeted,2210,Oil,LSTM,NVITA,0.2,3,
untargeted,2210,Oil,LSTM,NVITA,0.2,5,
untargeted,2210,Oil,RF,BRNV,0.15,5,
untargeted,2210,Oil,RF,BRS,0.15,1,
untargeted,2210,Oil,RF,FULLVITA,0.15,1,
untargeted,2210,Oil,RF,NOATTACK,0.15,1,
untargeted,2210,Oil,RF,NVITA,0.15,1,
untargeted,2210,Oil,RF,NVITA,0.15,3,
untargeted,2210,Oil,RF,NVITA,0.15,5,
untargeted,2210,Oil,RF,BRNV,0.2,5,
untargeted,2210,Oil,RF,BRS,0.2,1,
untargeted,2210,Oil,RF,FULLVITA,0.2,1,
untargeted,2210,Oil,RF,NOATTACK,0.2,1,
untargeted,2210,Oil,RF,NVITA,0.2,1,
untargeted,2210,Oil,RF,NVITA,0.2,3,
untargeted,2210,Oil,RF,NVITA,0.2,5,
untargeted,9999,Oil,CNN,BIM,0.2,1,
untargeted,9999,Oil,CNN,BRNV,0.2,5,
untargeted,9999,Oil,CNN,BRS,0.2,1,
untargeted,9999,Oil,CNN,FGSM,0.2,1,
untargeted,9999,Oil,CNN,FULLVITA,0.2,1,
untargeted,9999,Oil,CNN,NOATTACK,0.2,1,
untargeted,9999,Oil,CNN,NVITA,0.2,1,
untargeted,9999,Oil,CNN,NVITA,0.2,3,
untargeted,9999,Oil,CNN,NVITA,0.2,5,
untargeted,9999,Oil,GRU,BRNV,0.15,5,
untargeted,9999,Oil,GRU,NVITA,0.15,3,
untargeted,9999,Oil,GRU,NVITA,0.15,5,
untargeted,9999,Oil,GRU,BIM,0.2,1,
untargeted,9999,Oil,GRU,BRNV,0.2,5,
untargeted,9999,Oil,GRU,BRS,0.2,1,
untargeted,9999,Oil,GRU,FGSM,0.2,1,
