df_name,seed,eps,model,attack,occurrence,full_name,
Electricity,2210,0.05,CNN,NOATTACK,2,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_NOATTACK,
Electricity,2210,0.05,CNN,BRS,2,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_BRS,
Electricity,2210,0.05,CNN,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,2210,0.05,CNN,FGSM,2,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_FGSM,
Electricity,2210,0.05,CNN,BIM,2,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_BIM,
Electricity,2210,0.05,CNN,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,2210,0.05,CNN,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,2210,0.05,CNN,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_Non_Targeted_5VITA,
Electricity,2210,0.05,CNN,FULLVITA,2,df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_FULLVITA,
Electricity,2210,0.05,LSTM,NOATTACK,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_NOATTACK,
Electricity,2210,0.05,LSTM,BRS,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_BRS,
Electricity,2210,0.05,LSTM,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,2210,0.05,LSTM,FGSM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_FGSM,
Electricity,2210,0.05,LSTM,BIM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_BIM,
Electricity,2210,0.05,LSTM,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,2210,0.05,LSTM,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,2210,0.05,LSTM,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_Non_Targeted_5VITA,
Electricity,2210,0.05,LSTM,FULLVITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.05_attack_FULLVITA,
Electricity,2210,0.05,GRU,NOATTACK,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_NOATTACK,
Electricity,2210,0.05,GRU,BRS,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_BRS,
Electricity,2210,0.05,GRU,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,2210,0.05,GRU,FGSM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_FGSM,
Electricity,2210,0.05,GRU,BIM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_BIM,
Electricity,2210,0.05,GRU,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,2210,0.05,GRU,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,2210,0.05,GRU,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_Non_Targeted_5VITA,
Electricity,2210,0.05,GRU,FULLVITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.05_attack_FULLVITA,
Electricity,2210,0.05,RF,NOATTACK,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_NOATTACK,
Electricity,2210,0.05,RF,BRS,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_BRS,
Electricity,2210,0.05,RF,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,2210,0.05,RF,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,2210,0.05,RF,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,2210,0.05,RF,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_Non_Targeted_5VITA,
Electricity,2210,0.05,RF,FULLVITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.05_attack_FULLVITA,
Electricity,2210,0.1,CNN,NOATTACK,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_NOATTACK,
Electricity,2210,0.1,CNN,BRS,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_BRS,
Electricity,2210,0.1,CNN,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_Non_Targeted_BR5V,
Electricity,2210,0.1,CNN,FGSM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_FGSM,
Electricity,2210,0.1,CNN,BIM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_BIM,
Electricity,2210,0.1,CNN,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_Non_Targeted_1VITA,
Electricity,2210,0.1,CNN,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_Non_Targeted_3VITA,
Electricity,2210,0.1,CNN,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_Non_Targeted_5VITA,
Electricity,2210,0.1,CNN,FULLVITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.1_attack_FULLVITA,
Electricity,2210,0.1,LSTM,NOATTACK,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_NOATTACK,
Electricity,2210,0.1,LSTM,BRS,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_BRS,
Electricity,2210,0.1,LSTM,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_Non_Targeted_BR5V,
Electricity,2210,0.1,LSTM,FGSM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_FGSM,
Electricity,2210,0.1,LSTM,BIM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_BIM,
Electricity,2210,0.1,LSTM,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_Non_Targeted_1VITA,
Electricity,2210,0.1,LSTM,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_Non_Targeted_3VITA,
Electricity,2210,0.1,LSTM,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_Non_Targeted_5VITA,
Electricity,2210,0.1,LSTM,FULLVITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.1_attack_FULLVITA,
Electricity,2210,0.1,GRU,NOATTACK,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_NOATTACK,
Electricity,2210,0.1,GRU,BRS,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_BRS,
Electricity,2210,0.1,GRU,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_Non_Targeted_BR5V,
Electricity,2210,0.1,GRU,FGSM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_FGSM,
Electricity,2210,0.1,GRU,BIM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_BIM,
Electricity,2210,0.1,GRU,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_Non_Targeted_1VITA,
Electricity,2210,0.1,GRU,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_Non_Targeted_3VITA,
Electricity,2210,0.1,GRU,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_Non_Targeted_5VITA,
Electricity,2210,0.1,GRU,FULLVITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.1_attack_FULLVITA,
Electricity,2210,0.1,RF,NOATTACK,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_NOATTACK,
Electricity,2210,0.1,RF,BRS,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_BRS,
Electricity,2210,0.1,RF,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_Non_Targeted_BR5V,
Electricity,2210,0.1,RF,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_Non_Targeted_1VITA,
Electricity,2210,0.1,RF,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_Non_Targeted_3VITA,
Electricity,2210,0.1,RF,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_Non_Targeted_5VITA,
Electricity,2210,0.1,RF,FULLVITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.1_attack_FULLVITA,
Electricity,2210,0.15,CNN,NOATTACK,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_NOATTACK,
Electricity,2210,0.15,CNN,BRS,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_BRS,
Electricity,2210,0.15,CNN,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_Non_Targeted_BR5V,
Electricity,2210,0.15,CNN,FGSM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_FGSM,
Electricity,2210,0.15,CNN,BIM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_BIM,
Electricity,2210,0.15,CNN,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_Non_Targeted_1VITA,
Electricity,2210,0.15,CNN,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_Non_Targeted_3VITA,
Electricity,2210,0.15,CNN,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_Non_Targeted_5VITA,
Electricity,2210,0.15,CNN,FULLVITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.15_attack_FULLVITA,
Electricity,2210,0.15,LSTM,NOATTACK,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_NOATTACK,
Electricity,2210,0.15,LSTM,BRS,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_BRS,
Electricity,2210,0.15,LSTM,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Non_Targeted_BR5V,
Electricity,2210,0.15,LSTM,FGSM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_FGSM,
Electricity,2210,0.15,LSTM,BIM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_BIM,
Electricity,2210,0.15,LSTM,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Non_Targeted_1VITA,
Electricity,2210,0.15,LSTM,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Non_Targeted_3VITA,
Electricity,2210,0.15,LSTM,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_Non_Targeted_5VITA,
Electricity,2210,0.15,LSTM,FULLVITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.15_attack_FULLVITA,
Electricity,2210,0.15,GRU,NOATTACK,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_NOATTACK,
Electricity,2210,0.15,GRU,BRS,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_BRS,
Electricity,2210,0.15,GRU,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Non_Targeted_BR5V,
Electricity,2210,0.15,GRU,FGSM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_FGSM,
Electricity,2210,0.15,GRU,BIM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_BIM,
Electricity,2210,0.15,GRU,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Non_Targeted_1VITA,
Electricity,2210,0.15,GRU,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Non_Targeted_3VITA,
Electricity,2210,0.15,GRU,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_Non_Targeted_5VITA,
Electricity,2210,0.15,GRU,FULLVITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.15_attack_FULLVITA,
Electricity,2210,0.15,RF,NOATTACK,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_NOATTACK,
Electricity,2210,0.15,RF,BRS,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_BRS,
Electricity,2210,0.15,RF,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Non_Targeted_BR5V,
Electricity,2210,0.15,RF,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Non_Targeted_1VITA,
Electricity,2210,0.15,RF,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Non_Targeted_3VITA,
Electricity,2210,0.15,RF,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_Non_Targeted_5VITA,
Electricity,2210,0.15,RF,FULLVITA,1,df_Electricity_seed_2210_model_RF_epsilon_0.15_attack_FULLVITA,
Electricity,2210,0.2,CNN,NOATTACK,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_NOATTACK,
Electricity,2210,0.2,CNN,BRS,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BRS,
Electricity,2210,0.2,CNN,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Non_Targeted_BR5V,
Electricity,2210,0.2,CNN,FGSM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FGSM,
Electricity,2210,0.2,CNN,BIM,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_BIM,
Electricity,2210,0.2,CNN,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Non_Targeted_1VITA,
Electricity,2210,0.2,CNN,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Non_Targeted_3VITA,
Electricity,2210,0.2,CNN,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_Non_Targeted_5VITA,
Electricity,2210,0.2,CNN,FULLVITA,1,df_Electricity_seed_2210_model_CNN_epsilon_0.2_attack_FULLVITA,
Electricity,2210,0.2,LSTM,NOATTACK,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_NOATTACK,
Electricity,2210,0.2,LSTM,BRS,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BRS,
Electricity,2210,0.2,LSTM,Non_Targeted_BR5V,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Non_Targeted_BR5V,
Electricity,2210,0.2,LSTM,FGSM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FGSM,
Electricity,2210,0.2,LSTM,BIM,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_BIM,
Electricity,2210,0.2,LSTM,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Non_Targeted_1VITA,
Electricity,2210,0.2,LSTM,Non_Targeted_3VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Non_Targeted_3VITA,
Electricity,2210,0.2,LSTM,Non_Targeted_5VITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_Non_Targeted_5VITA,
Electricity,2210,0.2,LSTM,FULLVITA,1,df_Electricity_seed_2210_model_LSTM_epsilon_0.2_attack_FULLVITA,
Electricity,2210,0.2,GRU,NOATTACK,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_NOATTACK,
Electricity,2210,0.2,GRU,BRS,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BRS,
Electricity,2210,0.2,GRU,Non_Targeted_BR5V,2,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Non_Targeted_BR5V,
Electricity,2210,0.2,GRU,FGSM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FGSM,
Electricity,2210,0.2,GRU,BIM,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_BIM,
Electricity,2210,0.2,GRU,Non_Targeted_1VITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Non_Targeted_1VITA,
Electricity,2210,0.2,GRU,Non_Targeted_3VITA,2,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Non_Targeted_3VITA,
Electricity,2210,0.2,GRU,Non_Targeted_5VITA,2,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_Non_Targeted_5VITA,
Electricity,2210,0.2,GRU,FULLVITA,1,df_Electricity_seed_2210_model_GRU_epsilon_0.2_attack_FULLVITA,
Electricity,2210,0.2,RF,NOATTACK,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_NOATTACK,
Electricity,2210,0.2,RF,BRS,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_BRS,
Electricity,2210,0.2,RF,Non_Targeted_BR5V,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Non_Targeted_BR5V,
Electricity,2210,0.2,RF,Non_Targeted_1VITA,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Non_Targeted_1VITA,
Electricity,2210,0.2,RF,Non_Targeted_3VITA,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Non_Targeted_3VITA,
Electricity,2210,0.2,RF,Non_Targeted_5VITA,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_Non_Targeted_5VITA,
Electricity,2210,0.2,RF,FULLVITA,3,df_Electricity_seed_2210_model_RF_epsilon_0.2_attack_FULLVITA,
Electricity,9999,0.05,CNN,NOATTACK,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK,
Electricity,9999,0.05,CNN,BRS,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BRS,
Electricity,9999,0.05,CNN,Non_Targeted_BR5V,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,9999,0.05,CNN,FGSM,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FGSM,
Electricity,9999,0.05,CNN,BIM,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_BIM,
Electricity,9999,0.05,CNN,Non_Targeted_1VITA,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,9999,0.05,CNN,Non_Targeted_3VITA,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,9999,0.05,CNN,Non_Targeted_5VITA,1,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_Non_Targeted_5VITA,
Electricity,9999,0.05,CNN,FULLVITA,2,df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA,
Electricity,9999,0.05,LSTM,NOATTACK,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_NOATTACK,
Electricity,9999,0.05,LSTM,BRS,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BRS,
Electricity,9999,0.05,LSTM,Non_Targeted_BR5V,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Non_Targeted_BR5V,
Electricity,9999,0.05,LSTM,FGSM,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_FGSM,
Electricity,9999,0.05,LSTM,BIM,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_BIM,
Electricity,9999,0.05,LSTM,Non_Targeted_1VITA,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Non_Targeted_1VITA,
Electricity,9999,0.05,LSTM,Non_Targeted_3VITA,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Non_Targeted_3VITA,
Electricity,9999,0.05,LSTM,Non_Targeted_5VITA,1,df_Electricity_seed_9999_model_LSTM_epsilon_0.05_attack_Non_Targeted_5VITA,
